AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FCAPDST_1,FCAPDST_2,FCAPDST_3,FCAPDST_4,FCAPDST_5,FCAPDST_6,FCAPDST_7,FCAPDST_8
Geography,Standard Geographical Classification,Province,Census Agricultural Region,Census Division ,Census Consolidated Subdivision,Geographic Identification,Total number of farms,"Total farm capital (under $50,000) - Farms Reporting","Total farm capital ($50,000-$99,999) - Farms Reporting","Total farm capital ($100,000-$199,999) - Farms Reporting","Total farm capital ($200,000-$349,999) - Farms Reporting","Total farm capital ($350,000-$499,999) - Farms Reporting","Total farm capital ($500,000-$999,999) - Farms Reporting","Total farm capital ($1,000,000-$1,499,999) - Farms Reporting","Total farm capital ($1,500,000 and over) - Farms Reporting"
240334000,2434000,24,3,34,0,Portneuf,571,38,61,113,147,91,100,12,9
240334010,2434010,24,3,34,10,Pointe-aux-Trembles,54,6,7,14,9,8,7,3,0
240334020,2434020,24,3,34,20,Sainte-Jeanne-de-Pont-Rouge,73,6,7,15,14,8,19,3,1
240334030,2434030,24,3,34,30,Cap-SantÇ,36,1,6,3,9,8,7,1,1
240334040,2434040,24,3,34,40,Saint-Basile,67,7,7,18,12,10,12,1,0
240334055,2434055,24,3,34,55,Deschambault,32,0,4,9,8,5,5,0,1
240334060,2434060,24,3,34,60,Saint-Gilbert,37,1,3,7,10,11,4,1,0
240334070,2434070,24,3,34,70,Grondines,22,0,2,4,9,5,2,0,0
240334080,2434080,24,3,34,80,Saint-Casimir,44,1,5,5,11,11,8,0,3
240334085,2434085,24,3,34,85,Saint-Thuribe,31,1,0,3,16,5,5,1,0
240334090,2434090,24,3,34,90,Saint-Ubalde,58,5,8,12,10,7,12,2,2
240334097,2434097,24,3,34,97,Saint-Alban,33,4,1,4,16,2,6,0,0
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,23,3,4,4,5,4,3,0,0
240334115,2434115,24,3,34,115,Saint-LÇonard-de-Portneuf,19,2,3,5,3,4,2,0,0
240334128,2434128,24,3,34,128,Saint-Raymond,42,1,4,10,15,3,8,0,1
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"5,405",199,442,"1,052","1,279",851,"1,196",255,131
240432000,2432000,24,4,32,0,L'êrable,753,49,97,172,168,113,120,28,6
240432005,2432005,24,4,32,5,Vianney,27,1,5,6,10,5,0,0,0
240432015,2432015,24,4,32,15,Saint-Ferdinand,71,5,12,28,8,10,8,0,0
240432020,2432020,24,4,32,20,Halifax-Nord,82,10,8,24,24,8,8,0,0
240432035,2432035,24,4,32,35,Princeville,99,2,10,14,18,17,23,12,3
240432045,2432045,24,4,32,45,Plessisville,100,10,9,16,25,16,22,2,0
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,73,4,20,14,13,12,8,2,0
240432060,2432060,24,4,32,60,Inverness,115,10,17,35,25,13,13,1,1
240432065,2432065,24,4,32,65,Lyster,69,2,6,13,12,6,23,7,0
240432075,2432075,24,4,32,75,Sainte-Julie,72,3,3,13,16,20,12,4,1
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,27,2,6,4,12,3,0,0,0
240432085,2432085,24,4,32,85,Villeroy,18,0,1,5,5,3,3,0,1
240435000,2435000,24,4,35,0,MÇkinac,203,11,14,45,63,39,27,1,3
240435010,2435010,24,4,35,10,Lac-aux-Sables,23,2,2,6,7,1,4,1,0
240435015,2435015,24,4,35,15,Saint-Adelphe,30,1,0,2,13,8,5,0,1
240435020,2435020,24,4,35,20,Saint-SÇverin,32,1,3,6,8,7,7,0,0
240435030,2435030,24,4,35,30,Saint-Tite,51,4,5,14,13,8,6,0,1
240435035,2435035,24,4,35,35,HÇrouxville,24,0,2,6,7,5,3,0,1
240435050,2435050,24,4,35,50,Sainte-Thäcle,43,3,2,11,15,10,2,0,0
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,150,6,12,58,46,13,11,4,0
240436005,2436005,24,4,36,5,Charette,20,3,3,7,4,1,2,0,0
240436010,2436010,24,4,36,10,Saint-êlie,19,0,2,11,2,3,0,1,0
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,39,1,3,13,16,2,3,1,0
240436035,2436035,24,4,36,35,Shawinigan-Sud,19,0,0,7,7,3,2,0,0
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,22,0,2,9,7,2,1,1,0
240436055,2436055,24,4,36,55,Grand-Märe,31,2,2,11,10,2,3,1,0
240437000,2437000,24,4,37,0,Francheville,508,28,44,95,128,87,108,13,5
